frame,t_s,roi_mean,roi_p1,roi_min,roi_p10,roi_p90,patch_area,patch_cx,patch_cy,patch_delta_mean,star_area,star_cx,star_cy,patch_thr,patch_dx,patch_dy,star_dx,star_dy,star_patch_dist
41,41.0,7.162381172180176,1.0,0.0,2.0,10.0,1773,139.65651438240272,328.0208685843204,5.151438236236572,4149,722.5468787659677,1146.3003133285129,5.0,-161.83569745560354,-34.701872848701385,36.887885518576695,161.0661205722206,1004.6603538420678
42,42.0,6.91860294342041,1.0,0.0,2.0,10.0,479,161.9937369519833,313.98956158663884,5.070981025695801,8534,444.86934614483243,1305.7395125380829,4.5,22.337222569580575,-14.031306997681554,-277.67753262113524,159.43919920957,1031.3033382513688
43,43.0,6.151210308074951,1.0,0.0,2.0,9.0,1327,58.01130369253956,368.63376036171815,4.612659931182861,2878,18.104239054899235,321.11223071577484,4.0,-103.98243325944372,54.6441987750793,-426.7651070899332,-984.6272818223081,62.05537517317151
44,44.0,5.551493167877197,1.0,0.0,2.0,9.0,742,68.19137466307278,362.1361185983827,4.244609355926514,7471,549.7088743140142,923.813545710079,4.0,10.180070970533215,-6.497641763335423,531.604635259115,602.7013149943041,739.8247323501082
45,45.0,5.473048686981201,1.0,0.0,2.0,9.0,1256,489.42436305732485,394.4673566878981,4.481688022613525,2978,516.5214909335124,1184.9016118200134,4.0,421.23298839425206,32.33123808951535,-33.18738338050184,261.0880661099344,790.8985813777899
46,46.0,5.281991004943848,1.0,0.0,2.0,9.0,1191,497.3022670025189,403.42065491183877,6.4832072257995605,22575,608.1497674418605,813.8143078626799,6.0,7.877903945194021,8.953298223940692,91.62827650834811,-371.08730395733346,425.1001278945765
47,47.0,5.500192165374756,1.0,0.0,2.0,9.0,486,478.3497942386831,392.5246913580247,5.026749134063721,10584,356.3308767951625,1058.6298185941043,5.0,-18.95247276383577,-10.895963553814056,-251.81889064669798,244.8155107314244,677.1887895884593
48,48.0,6.043529510498047,1.0,0.0,2.0,9.0,1088,482.9779411764706,380.82628676470586,4.361672878265381,20445,935.2608461726584,1271.3266324284666,4.0,4.6281469377875055,-11.698404593318855,578.9299693774958,212.69681383436227,998.7745950809261
49,49.0,6.2669854164123535,1.0,0.0,2.0,9.0,1610,485.6670807453416,395.167701863354,4.371118068695068,10222,818.4180199569556,1573.8570729798473,4.0,2.689139568870985,14.341415098648156,-116.84282621570276,302.5304405513807,1224.757862244291
50,50.0,6.388681888580322,1.0,0.0,2.0,9.0,1137,502.7088830255057,374.7818821459982,5.2915568351745605,9160,90.3164847161572,1158.8981441048036,5.0,17.04180228016412,-20.385819717355787,-728.1015352407984,-414.95892887504374,885.9490969867209
51,51.0,27.536418914794922,1.0,0.0,2.0,95.0,395,471.99240506329113,292.2481012658228,5.320253372192383,7232,929.2101769911504,602.0735619469026,5.0,-30.716477962214583,-82.53378088017541,838.8936922749932,-556.824582157901,552.304179825682
52,52.0,26.93017578125,1.0,0.0,2.0,91.0,1290,470.3736434108527,288.0077519379845,4.518604755401611,7507,983.0796589849474,425.18569335287066,4.0,-1.6187616524384225,-4.240349327838317,53.86948199379697,-176.88786859403194,530.7402811325796
53,53.0,28.809490203857422,1.0,0.0,2.0,97.0,741,485.47503373819166,288.8582995951417,5.402833938598633,2038,622.419528949951,931.7860647693817,5.0,15.101390327338947,0.8505476571572217,-360.6601300349964,506.60037141651105,657.3506720166537
54,54.0,28.710453033447266,1.0,0.0,2.0,92.0,523,490.5544933078394,290.453154875717,5.558317184448242,4707,757.0439770554493,1374.4306352241342,5.0,5.0794595696477245,1.5948552805753025,134.62444810549835,442.6445704547525,1116.2543719289843
55,55.0,29.041431427001953,1.0,0.0,2.0,95.0,717,487.9944211994421,293.17154811715477,5.4930267333984375,4535,759.8006615214995,1381.9955898566704,5.0,-2.5600721083972644,2.7183932414377523,2.75668446605016,7.564954632536228,1122.2372414725803
56,56.0,28.975740432739258,1.0,0.0,3.0,92.0,1107,484.35953026196927,292.74616079494126,5.442637920379639,4349,792.2851230167855,1369.1368130604737,5.0,-3.6348909374728464,-0.42538732221350983,32.48446149528604,-12.858776796196707,1119.5691166506977
57,57.0,30.078676223754883,1.0,0.0,3.0,97.0,832,496.6838942307692,289.85216346153845,5.34254789352417,3827,770.3433498824144,1393.5293963940424,5.0,12.324363968799958,-2.893997333402808,-21.941773134371147,24.39258333356861,1137.0984707408165
58,58.0,30.476600646972656,2.0,0.0,3.0,100.0,1077,489.61281337047353,290.594243268338,5.233983516693115,2564,510.44578783151326,679.5148205928238,5.0,-7.0710808602956945,0.742079806799552,-259.8975620509011,-714.0145758012186,389.4781486698652
59,59.0,31.0224552154541,1.0,0.0,3.0,101.0,812,494.31773399014776,288.9778325123153,5.10899019241333,3330,819.863963963964,365.9942942942943,5.0,4.704920619674226,-1.6164107560227308,309.41817613245075,-313.52052629852943,334.5323351121381
60,60.0,36.20406723022461,1.0,0.0,2.0,124.0,1237,487.7413096200485,288.78900565885203,4.547696113586426,8441,792.9642222485487,1090.0657505034949,4.0,-6.576424370099232,-0.18882685346324024,-26.899741715415303,724.0714562092005,857.441221438678
61,61.0,33.31321334838867,1.0,0.0,2.0,102.0,559,499.8568872987478,290.613595706619,5.30232572555542,8507,840.187140002351,952.8795109909486,5.0,12.115577678699253,1.8245900477669466,47.222917753802335,-137.1862395125463,744.5944019751219
62,62.0,33.1682014465332,1.0,0.0,2.0,116.0,348,440.01149425287355,298.3620689655172,5.725574493408203,4881,734.4906781397254,1388.9879123130506,4.5,-59.84539304587423,7.74847325889823,-105.6964618626256,436.10840132210205,1129.682574850203
63,63.0,31.03042984008789,1.0,0.0,2.0,115.0,692,469.4234104046243,291.7153179190751,5.381503105163574,4751,548.0402020627237,709.517996211324,5.0,29.411916151750745,-6.646751046442091,-186.45047607700178,-679.4699161017267,425.134893791123
64,64.0,5.791261196136475,2.0,1.0,2.0,9.0,405,465.883950617284,396.279012345679,5.122222423553467,2710,890.811070110701,629.3166051660517,5.0,-3.53945978734032,104.56369442660389,342.7708680479774,-80.20139104527232,484.6334455529112
65,65.0,5.731131076812744,2.0,0.0,2.0,9.0,446,214.2152466367713,417.57847533632287,8.001121520996094,2676,873.1005231689088,611.8718236173393,5.0,-251.66870398051267,21.29946299064386,-17.710546941792245,-17.4447815487124,686.9350135326337
66,66.0,5.847245693206787,1.0,0.0,2.0,9.0,720,465.2736111111111,392.12083333333334,5.110416889190674,2661,854.9312288613303,594.5467869222097,5.0,251.0583644743398,-25.45764200298953,-18.169294307578525,-17.325036695129597,439.10058728854125
67,67.0,5.64691162109375,1.0,0.0,2.0,9.0,1025,498.0682926829268,379.78634146341466,5.155121803283691,2692,835.3681277860327,578.7343982169391,5.0,32.794681571815715,-12.33449186991868,-19.563101075297595,-15.812388705270564,391.6012104764054
68,68.0,5.902205944061279,1.0,0.0,2.0,9.0,302,354.5,419.0,8.178808212280273,2670,814.7041198501872,563.7846441947565,4.5,-143.56829268292682,39.21365853658534,-20.66400793584546,-14.94975402218256,482.4421469167964
69,69.0,5.733354091644287,1.0,0.0,1.0,9.0,520,259.5,419.0,8.6134614944458,2696,793.7555637982196,549.7132789317508,5.0,-95.0,0.0,-20.94855605196767,-14.07136526300576,550.0136077757014
70,70.0,5.951866626739502,1.0,0.0,1.0,10.0,181,516.4254143646409,398.6629834254144,5.994475364685059,2658,772.0169300225733,537.0090293453725,5.5,256.9254143646409,-20.33701657458562,-21.738633775646235,-12.704249586378296,290.63146990304796
71,71.0,6.516821384429932,1.0,0.0,1.0,10.0,739,424.2408660351827,413.5994587280108,5.44925594329834,2660,749.8492481203008,525.4236842105263,4.0,-92.18454832945821,14.93647530259642,-22.167681902272534,-11.585345134846193,344.2752908485486
